Indirizzo,Vendita(euro/m2),Affitto(euro/m2),geometry
Via Tristano Calco,5325,14.75,POINT (9.167937807466867 45.46006133699549)
Via San Vittore,5325,14.75,POINT (9.169917907564539 45.46347811603567)
Via Pietro Panzeri,5325,14.75,POINT (9.177670082625781 45.45429003678927)
Viale di Porta Vercellina,5325,14.75,POINT (9.164698211124211 45.46258403807465)
Via Pietro Azario,5325,14.75,POINT (9.168550860272045 45.46001574128817)
Via Numa Pompilio,5325,14.75,POINT (9.169430085071099 45.46024142232083)
Via Aristide De Togni,5325,14.75,POINT (9.173084589501622 45.46403391166459)
Via Anco Marzio,5325,14.75,POINT (9.170635115813146 45.46032502514943)
Piazza Resistenza Partigiana,5325,14.75,POINT (9.178034678368071 45.45894309458249)
Piazza 24 maggio,5325,14.75,POINT (9.17948055051863 45.45304004356873)
Piazza Gaetano Filangieri,5325,14.75,POINT (9.168152428561619 45.46084380314881)
Piazza Sant'Agostino,5325,14.75,POINT (9.170885538750451 45.45907681517414)
Via Carlo Tenca,5175,16.5,POINT (9.202903771120939 45.48161076087762)
Via Alvise Cadamosto,5175,16.5,POINT (9.209356834858335 45.47660997514984)
Via Antonio Zarotto,5175,16.5,POINT (9.200915991812492 45.47790200831579)
Via Bartolomeo Eustachi,5175,16.5,POINT (9.214770062460929 45.4763706265302)
Via Bartolomeo Giuliano,5175,16.5,POINT (9.211110104439371 45.47889004250938)
Via Bernardino Ramazzini,5175,16.5,POINT (9.211045102780247 45.47558004990013)
